Order Date,Segment,Market,Sales,Profit
2013-08-22,Consumer,APAC,3200.5962,-77.2038
2014-11-11,Home Office,APAC,4518.78,632.52
2014-09-26,Corporate,APAC,5667.87,2097.03
2012-12-13,Consumer,EU,5785.02,404.73
2011-09-23,Consumer,EU,3018.624,377.244
2011-09-23,Consumer,US,9449.95,4630.4755
2013-03-08,Corporate,EU,2092.5,720.75
2014-08-28,Consumer,APAC,2761.2,110.34
2014-05-01,Consumer,APAC,2174.13,500.01
2014-12-18,Consumer,LATAM,3473.14,868.12
2012-06-16,Consumer,US,3050.376,1143.891
2014-09-18,Consumer,EMEA,2108.64,527.04
2014-07-25,Corporate,US,2399.96,839.986
2011-12-17,Corporate,APAC,2197.5,153.75
2013-12-18,Corporate,Africa,2582.16,593.88
2012-05-30,Consumer,APAC,1526.52,732.72
2012-03-19,Corporate,US,3149.93,1480.4671
2012-05-25,Corporate,APAC,1745.34,226.86
2014-08-05,Consumer,APAC,4191.507,1164.267
2014-08-24,Consumer,US,4367.896,327.5922
2014-03-11,Consumer,APAC,3063.27,581.91
2012-11-08,Corporate,US,4643.8,2229.024
2014-08-11,Corporate,EU,4473.0,313.11
2013-08-31,Corporate,EU,1502.01,225.18
2014-01-18,Consumer,APAC,5049.0,656.37
2013-12-02,Corporate,US,2104.55,694.5015
2014-12-07,Consumer,EU,2188.05,1050.15
2014-12-16,Corporate,APAC,1920.36,652.92
2014-11-20,Home Office,LATAM,1704.0,119.28
2011-11-09,Home Office,EMEA,1858.68,130.08
2013-06-07,Corporate,APAC,3298.26,1055.25
2011-11-22,Consumer,LATAM,2443.48,121.94
2013-03-29,Consumer,Africa,3808.8,1523.52
2014-08-26,Corporate,APAC,3427.1496,-452.8104
2012-09-20,Consumer,EU,3441.69,38.07
2014-05-16,Consumer,APAC,2863.35,858.9
2012-03-16,Consumer,US,6354.95,3177.475
2013-11-24,Consumer,EU,1487.4,728.7
2011-11-09,Home Office,APAC,3200.04,1183.95
2011-10-28,Consumer,APAC,2301.0,91.95
2014-11-19,Consumer,EU,5729.346,63.546
2014-10-28,Corporate,Africa,5301.24,2597.28
2014-01-17,Consumer,US,5443.96,2504.2216
2014-08-18,Consumer,US,4416.174,-630.882
2013-01-29,Consumer,EU,3219.9,965.85
2012-09-18,Consumer,APAC,2487.8088,-269.7912
2013-11-23,Home Office,Africa,2266.44,113.28
2012-06-13,Corporate,APAC,3068.361,1124.901
2013-10-28,Consumer,APAC,3728.43,1192.86
2013-12-12,Consumer,APAC,1581.48,0.0
2012-05-25,Corporate,APAC,1916.73,498.33
2013-05-06,Corporate,US,1685.88,320.3172
2013-12-02,Home Office,EU,2432.16,513.36
2014-12-23,Corporate,Canada,3863.88,1159.02
2013-01-28,Corporate,APAC,2465.82,197.19
2012-05-07,Corporate,APAC,1847.52,738.96
2013-11-27,Consumer,EU,2899.89,927.78
2012-11-28,Home Office,APAC,2891.7,96.39
2012-09-29,Consumer,EU,2016.846,-0.054
2013-09-03,Home Office,EU,3155.544,34.944
2013-07-26,Consumer,Africa,3856.14,1465.2
2014-11-19,Corporate,APAC,3524.472,861.372
2012-06-19,Consumer,EU,2167.296,790.416
2012-10-11,Corporate,LATAM,2556.0,178.92
2011-08-09,Consumer,EU,1469.25,308.4
2011-11-05,Consumer,EU,4448.832,1517.712
2014-11-07,Home Office,US,2036.86,366.6348
2013-04-26,Home Office,LATAM,2472.66,914.76
2013-12-26,Consumer,APAC,3739.176,747.816
2013-03-13,Home Office,EU,2570.865,-2211.165
2013-04-17,Corporate,US,9099.93,2365.9818
2012-04-05,Corporate,EU,2875.77,-1783.08
2012-12-26,Consumer,EU,1741.8,261.24
2013-04-18,Consumer,APAC,1601.64,587.19
2011-05-24,Consumer,APAC,3670.8,367.08
2012-05-22,Consumer,US,2973.32,334.4985
2013-05-16,Consumer,EU,1900.95,589.2
2011-12-06,Corporate,US,1261.33,327.9458
2011-02-16,Corporate,EU,4544.1,1868.13
2013-05-31,Consumer,APAC,1455.12,116.4
2013-10-01,Consumer,APAC,1943.19,258.93
2011-12-14,Consumer,US,6999.96,2239.9872
2013-12-18,Consumer,US,9892.74,4946.37
2013-12-11,Corporate,APAC,1695.87,-37.83
2014-03-18,Corporate,EU,1505.979,-265.761
2014-12-19,Consumer,APAC,1954.17,312.66
2011-12-20,Home Office,US,2244.48,493.7856
2013-05-24,Consumer,US,8399.976,1119.9968
2011-10-14,Consumer,US,1628.82,260.6112
2014-09-18,Consumer,LATAM,1213.18876,508.00876
2013-11-25,Corporate,APAC,1590.6,572.55
2013-11-07,Consumer,APAC,2330.64,1025.46
2014-07-19,Home Office,APAC,3278.5848,140.8248
2012-08-16,Home Office,APAC,3741.5238,946.6338
2013-08-27,Corporate,US,1603.136,100.196
2012-01-11,Consumer,APAC,3637.602,156.402
2013-01-28,Home Office,LATAM,2455.88,785.82
2012-06-14,Consumer,APAC,1024.68,-286.92
2011-12-01,Consumer,US,2807.84,673.8816
2013-06-25,Consumer,US,4476.8,503.64
2012-12-06,Home Office,LATAM,2297.96,988.12
2013-09-05,Corporate,EU,2671.41,534.24
2014-09-18,Consumer,Africa,3834.0,268.38
2014-09-12,Home Office,US,2054.272,256.784
2012-08-03,Corporate,APAC,3501.7368,210.8568
2014-12-09,Home Office,APAC,1725.462,747.612
2012-10-25,Consumer,APAC,1583.7,174.15
2012-07-13,Consumer,US,1931.04,321.84
2013-08-27,Home Office,APAC,2760.345,-214.725
2011-05-13,Corporate,APAC,3078.72,523.08
2011-11-03,Consumer,EU,1983.135,-1784.895
2014-08-02,Consumer,EU,1112.778,296.658
2011-09-20,Consumer,EU,3616.5,36.0
2014-01-08,Corporate,US,3059.982,679.996
2013-03-11,Consumer,APAC,2892.105,160.605
2012-02-02,Consumer,EU,3263.4,848.4
2013-09-09,Consumer,US,2396.2656,-317.1528
2014-04-09,Corporate,LATAM,3117.088,38.948
2013-03-02,Consumer,US,4899.93,2400.9657
2014-03-19,Home Office,LATAM,1888.7,887.6
2013-10-02,Consumer,APAC,3000.78,1080.18
2013-01-12,Corporate,EU,3801.63,1444.59
2014-08-20,Consumer,EMEA,5211.12,1146.24
2011-12-17,Corporate,APAC,1356.03,311.85
2014-03-14,Consumer,APAC,3569.643,674.163
2013-03-26,Consumer,US,1287.45,244.6155
2014-07-09,Consumer,APAC,2910.0816,125.1216
2013-06-11,Home Office,APAC,3126.4002,-128.7198
2011-08-10,Consumer,EU,5276.988,1758.888
2014-03-17,Consumer,APAC,2645.376,-0.024
2013-01-02,Consumer,APAC,1637.01,-36.39
2013-11-26,Consumer,US,4499.985,-6599.978
2012-10-10,Consumer,APAC,2645.376,-0.024
2014-10-23,Home Office,US,2399.6,647.892
2011-06-17,Corporate,APAC,3238.305,-740.295
2014-04-03,Corporate,EU,2291.814,127.134
2011-05-17,Consumer,LATAM,2124.5,488.6
2014-02-11,Home Office,EMEA,2757.78,744.48
2013-10-12,Consumer,EU,1549.98,139.32
2011-09-19,Consumer,US,2624.985,-944.9946
2014-07-17,Corporate,EMEA,3146.4,629.28
2014-11-22,Corporate,EU,2456.619,664.719
2011-05-30,Consumer,EU,2228.6355,-754.4145
2014-04-01,Corporate,US,2999.95,1439.976
2014-07-17,Corporate,APAC,4001.04,1440.24
2014-08-29,Home Office,EU,4876.875,745.875
2012-12-26,Consumer,APAC,1788.822,204.282
2014-11-11,Home Office,APAC,3622.29,1267.77
2013-05-01,Consumer,APAC,1242.585,-140.715
2011-08-16,Corporate,EU,4453.05,1424.85
2014-12-03,Consumer,APAC,2673.36,1069.2
2013-06-25,Consumer,APAC,2046.195,591.045
2013-01-21,Consumer,EU,5451.3,2071.44
2013-10-22,Home Office,US,4535.976,1644.2913
2014-07-12,Consumer,APAC,1722.2832,539.4432
2013-12-26,Corporate,US,2575.944,257.5944
2014-09-01,Home Office,EU,1007.424,134.304
2011-11-17,Corporate,US,2934.33,792.2691
2011-06-07,Home Office,APAC,4624.29,1644.03
2011-10-13,Corporate,EU,1066.446,-11.934
2013-06-10,Home Office,APAC,957.6,0.0
2014-12-13,Home Office,APAC,4864.32,162.12
2014-10-13,Consumer,US,2154.9,129.294
2014-06-10,Consumer,APAC,1433.8395,-84.3705
2011-02-15,Home Office,Africa,2784.6,779.52
2013-11-28,Consumer,EU,3063.27,1470.21
2014-06-18,Home Office,US,3404.5,1668.205
2013-09-20,Home Office,US,1606.23,481.869
2011-08-09,Consumer,LATAM,2044.8,-332.28
2011-06-21,Consumer,US,1214.85,352.3065
2012-08-02,Corporate,APAC,1521.0,0.0
2012-06-19,Consumer,EU,2443.905,760.305
2012-07-16,Corporate,US,1348.704,-219.1644
2013-08-02,Corporate,EMEA,1141.8,570.9
2014-05-22,Corporate,APAC,1865.97,802.17
2011-02-10,Corporate,APAC,6998.64,2939.31
2013-09-27,Consumer,EU,1091.25,119.97
2014-06-02,Home Office,APAC,1094.22,328.23
2013-09-30,Corporate,APAC,1320.624,484.224
2011-07-19,Consumer,APAC,2555.64,664.44
2014-08-14,Home Office,EMEA,3498.72,594.72
2013-07-26,Consumer,US,1439.976,191.9968
2014-10-31,Consumer,APAC,2272.86,977.22
2013-07-25,Consumer,APAC,5211.12,833.76
2014-10-07,Home Office,APAC,2582.16,361.44
2014-10-17,Home Office,APAC,3194.55,830.55
2013-12-03,Consumer,APAC,1704.996,378.876
2014-11-08,Corporate,APAC,1538.721,325.701
2013-06-10,Home Office,APAC,1381.32,593.91
2011-09-21,Home Office,EU,1181.547,498.807
2011-06-21,Consumer,EU,1696.248,734.928
2014-05-09,Home Office,US,3359.952,1049.985
2014-09-23,Consumer,US,4663.736,-1049.3406
2014-11-26,Home Office,Africa,1237.56,606.36
2012-03-30,Consumer,Africa,1274.7,140.16
2011-11-10,Consumer,LATAM,3172.14,856.44
2014-08-22,Consumer,US,4305.552,1453.1238
2012-08-01,Corporate,EU,3979.29,1989.54
2014-12-23,Consumer,US,1586.69,412.5394
2014-07-04,Home Office,US,2395.2,209.58
2014-11-21,Consumer,US,1259.97,327.5922
2013-01-23,Consumer,EMEA,2058.0,946.68
2011-05-21,Consumer,APAC,2539.8765,709.9365
2014-09-28,Consumer,EU,2898.21,1420.02
2011-11-06,Home Office,EU,1320.0075,357.1575
2014-01-28,Corporate,EMEA,2171.16,-2750.28
2014-09-13,Corporate,APAC,4448.223,444.483
2012-12-01,Home Office,US,1913.4,401.814
2011-12-22,Consumer,LATAM,2300.616,38.196
2013-02-05,Home Office,Africa,2615.94,1072.44
2011-12-28,Consumer,APAC,1066.68,394.65
2013-05-28,Corporate,US,3504.9,700.98
2011-04-27,Corporate,Africa,2544.6,814.2
2011-10-06,Corporate,APAC,3694.68,886.68
2013-08-24,Home Office,APAC,2214.849,-221.571
2013-09-21,Home Office,LATAM,1236.48,111.28
2014-12-17,Corporate,LATAM,1805.9,126.4
2011-09-19,Corporate,US,3059.982,-509.997
2014-07-04,Home Office,US,1687.8,742.632
2011-05-21,Corporate,US,2715.93,1276.4871
2014-06-03,Consumer,LATAM,1810.3,54.3
2014-09-12,Consumer,LATAM,2120.5,106.0
2014-04-17,Consumer,APAC,1275.0,140.22
2012-11-21,Consumer,EU,1593.648,-225.162
2014-03-06,Corporate,EU,1114.236,383.706
2012-07-23,Consumer,EU,2944.08,1112.13
2014-11-07,Consumer,APAC,3309.2598,318.8598
2014-11-22,Consumer,LATAM,897.48,322.92
2011-06-11,Consumer,EU,2056.05,390.6
2012-09-14,Corporate,LATAM,2365.6592,18.8592
2011-11-25,Consumer,APAC,1336.356,44.436
2012-08-10,Consumer,APAC,3038.64,1245.84
2013-03-20,Consumer,EU,2698.65,890.46
2013-12-30,Corporate,Africa,3799.08,455.76
2012-10-04,Consumer,APAC,2756.34,413.28
2012-08-06,Home Office,EU,983.88,-11.16
2012-10-02,Home Office,APAC,1719.807,117.657
2014-03-26,Consumer,APAC,1421.541,428.121
2014-11-21,Consumer,LATAM,1053.6884,441.2884
2011-11-30,Consumer,EU,1440.84,-1268.04
2011-11-03,Corporate,APAC,2544.372,621.792
2012-11-23,Consumer,US,2625.12,735.0336
2012-12-06,Consumer,EMEA,1554.48,341.76
2013-12-03,Consumer,LATAM,1278.0,89.46
2012-12-20,Corporate,LATAM,3474.08,625.28
2012-09-13,Consumer,LATAM,2550.0,357.0
2013-11-04,Consumer,US,1101.48,429.5772
2013-11-16,Consumer,US,1016.792,381.297
2013-04-08,Corporate,US,1199.976,374.9925
2012-05-23,Consumer,EMEA,934.248,-1331.652
2014-11-18,Consumer,US,10499.97,5039.9856
2014-04-14,Corporate,Africa,3908.88,1563.48
2014-08-29,Home Office,LATAM,2142.3,556.9
2014-05-16,Consumer,APAC,1900.584,-348.516
2012-12-13,Consumer,Africa,1840.68,496.98
2011-03-31,Consumer,EU,2624.04,446.04
2012-02-04,Corporate,APAC,3076.5,215.25
2013-05-29,Corporate,APAC,3181.7718,344.9718
2012-08-29,Consumer,EU,1392.633,-139.557
2011-06-15,Consumer,APAC,1296.24,285.12
2014-08-28,Consumer,APAC,1682.91,487.98
2011-10-27,Consumer,LATAM,1278.0,89.46
2014-03-19,Home Office,EMEA,2570.76,976.8
2014-09-11,Home Office,LATAM,2332.96,349.86
2012-08-28,Home Office,APAC,1582.2,-870.3
2014-08-16,Corporate,US,1801.632,-337.806
2013-08-01,Corporate,APAC,1512.0,498.96
2013-06-10,Consumer,US,695.7,-27.828
2014-12-24,Consumer,Africa,2550.0,714.0
2012-12-15,Consumer,US,2025.36,607.608
2012-02-23,Home Office,EU,2285.7,845.7
2014-10-11,Consumer,APAC,1029.2589,10.8189
2014-04-21,Corporate,LATAM,1058.2792,-2.1208
2013-06-12,Consumer,APAC,5751.54,2817.99
2013-09-17,Home Office,EU,2442.069,-244.251
2014-09-19,Home Office,APAC,1190.52,178.56
2014-11-26,Consumer,EU,3150.819,-35.091
2014-09-01,Home Office,EU,1599.9,719.85
2014-06-20,Corporate,APAC,2063.4,123.75
2014-10-23,Home Office,EMEA,1269.9,558.72
2011-08-16,Corporate,APAC,3274.02,261.9
2014-09-12,Consumer,LATAM,848.32,110.28
2012-08-24,Consumer,US,3080.0,1416.8
2014-01-14,Consumer,EU,2847.36,711.84
2014-11-13,Home Office,APAC,1725.75,-483.3
2013-06-13,Consumer,APAC,1479.3138,-63.6462
2012-12-24,Corporate,US,4899.93,2302.9671
2014-09-22,Consumer,APAC,1282.23,12.69
2011-01-08,Consumer,Africa,2478.6,49.5
2013-10-03,Corporate,US,17499.95,8399.976
2013-07-30,Corporate,APAC,959.76,460.62
2012-07-31,Consumer,US,1090.782,-290.8752
2014-04-30,Home Office,APAC,4135.641,847.041
2011-09-28,Consumer,LATAM,2325.28,511.52
2014-06-24,Consumer,APAC,5486.67,2316.51
2011-04-06,Home Office,EU,1523.664,-50.976
2014-08-07,Corporate,EU,1625.2425,-76.5675
2013-11-19,Corporate,US,1319.96,527.984
2014-02-14,Consumer,EU,734.94,130.62
2014-11-29,Home Office,US,2065.32,-619.596
2012-08-17,Consumer,EMEA,1391.52,69.36
2012-08-31,Corporate,US,1552.831,200.9546
2012-08-07,Consumer,LATAM,2461.06,566.02
2014-01-27,Consumer,US,2939.93,764.3818
2011-09-08,Consumer,US,8159.952,-1359.992
2012-08-09,Consumer,APAC,1226.19,612.99
2013-02-21,Consumer,APAC,1809.255,-258.495
2012-07-18,Corporate,APAC,1863.0,393.24
2011-11-19,Consumer,US,4548.81,1228.1787
2014-04-09,Consumer,EU,1244.187,-13.923
2012-06-18,Consumer,EU,2364.102,-218.298
2013-12-31,Corporate,EU,1946.313,114.453
2014-06-30,Consumer,US,895.92,302.373
2012-01-16,Corporate,EU,2283.714,-0.216
2012-06-12,Consumer,Africa,2549.76,1172.88
2014-03-17,Home Office,APAC,3299.562,366.282
2012-11-13,Consumer,EU,2489.4,273.78
2013-11-27,Consumer,US,3406.664,160.3136
2012-12-06,Home Office,US,999.98,449.991
2014-05-16,Home Office,EU,1189.242,250.992
2014-12-25,Home Office,US,2879.952,1007.9832
2014-12-22,Corporate,LATAM,1269.6,355.44
2013-09-14,Home Office,APAC,3499.155,-3009.435
2013-01-07,Consumer,APAC,2993.025,726.825
2014-06-27,Home Office,EU,815.949,287.919
2012-07-13,Consumer,EU,1245.0,161.76
2014-02-11,Consumer,APAC,1027.728,182.688
2014-05-29,Consumer,APAC,1703.025,737.925
2014-04-16,Consumer,APAC,1803.0837,-130.3863
2014-11-27,Corporate,EU,676.485,195.285
2011-11-09,Corporate,APAC,969.36,348.81
2014-09-18,Corporate,EU,1637.01,90.81
2014-02-24,Consumer,LATAM,1655.96144,13.20144
2013-09-03,Corporate,LATAM,976.96,232.0
2013-12-23,Corporate,APAC,731.34,175.5
2014-06-17,Consumer,Africa,1239.0,0.0
2014-03-15,Home Office,APAC,1680.606,368.256
2014-07-12,Consumer,APAC,2190.75,65.7
2014-06-09,Consumer,EU,935.172,114.252
2014-10-15,Consumer,EU,1026.96,441.36
2014-08-06,Consumer,APAC,2550.0,280.44
2012-12-07,Corporate,EU,1224.714,-129.726
2012-12-25,Corporate,APAC,2667.537,-417.813
2013-05-16,Consumer,EU,2605.92,1042.32
2013-06-17,Consumer,EMEA,2962.68,207.06
2014-11-03,Consumer,APAC,2664.0,905.7
2012-05-28,Consumer,EU,1513.56,741.6
2013-08-17,Corporate,EU,1233.63,234.36
2011-06-03,Consumer,EMEA,855.15,384.81
2011-07-14,Consumer,EU,956.34,-95.7
2011-09-29,Corporate,US,1801.632,-337.806
2011-10-17,Consumer,EU,1838.52,160.77
2011-11-14,Home Office,APAC,4498.83,674.73
2014-07-14,Consumer,EU,1824.144,-1303.056
2014-06-03,Consumer,LATAM,2344.0,46.88
2014-12-15,Consumer,APAC,2043.72,756.0
2014-06-28,Corporate,Africa,856.8,265.44
2014-12-20,Corporate,LATAM,2509.36,426.58
2012-02-06,Consumer,APAC,819.936,191.316
2011-01-21,Consumer,LATAM,2797.248,-0.072
2012-08-03,Consumer,LATAM,1455.08,261.8
2014-10-27,Corporate,APAC,2189.0898,541.3698
2012-02-27,Home Office,APAC,5451.3,327.06
2012-06-11,Corporate,EMEA,1291.08,296.94
2011-02-23,Corporate,APAC,1526.52,732.72
2014-09-15,Home Office,US,1079.85,323.955
2013-07-20,Home Office,LATAM,1869.72,205.56
2013-03-29,Consumer,LATAM,1815.24,471.94
2014-10-23,Corporate,APAC,959.76,460.62
2014-06-24,Consumer,LATAM,3045.84,1035.58
2013-10-30,Home Office,LATAM,2125.0,297.5
2012-12-13,Consumer,Africa,976.08,292.8
2013-05-04,Consumer,APAC,1266.36,265.92
2014-05-08,Corporate,US,1458.65,423.0085
2011-09-08,Home Office,Africa,2134.44,682.92
2012-04-22,Corporate,EU,4748.436,844.116
2013-10-30,Corporate,Africa,1867.5,242.64
2011-04-16,Home Office,APAC,1001.7,250.38
2012-10-12,Home Office,US,899.136,112.392
2014-05-26,Consumer,US,663.92,207.475
2014-10-31,Home Office,APAC,4306.32,1722.48
2013-04-12,Home Office,APAC,899.55,323.82
2013-11-11,Home Office,APAC,763.92,381.96
2012-10-13,Consumer,EU,2544.24,1093.92
2012-10-13,Consumer,APAC,1136.664,-189.456
2014-01-30,Corporate,APAC,2301.0,91.95
2012-10-12,Consumer,Africa,3908.88,1563.48
2013-12-06,Corporate,US,1951.84,585.552
2014-12-03,Consumer,US,2479.96,743.988
2013-09-19,Consumer,APAC,2249.16,224.88
2012-12-31,Corporate,LATAM,2528.26,176.96
2014-12-29,Consumer,EU,1461.135,202.185
2013-11-15,Consumer,LATAM,3045.84,1035.58
2011-09-12,Consumer,US,3785.292,420.588
2014-05-15,Consumer,US,1399.93,601.9699
2014-09-08,Consumer,APAC,2152.956,198.636
2013-06-17,Consumer,EU,1244.1,447.75
2011-12-08,Corporate,LATAM,2226.816,500.976
2014-09-19,Consumer,APAC,1586.412,17.532
2013-11-27,Corporate,US,3040.0,1459.2
2014-02-10,Consumer,EMEA,3425.4,1233.0
2014-02-08,Corporate,EU,1136.94,568.44
2013-08-05,Corporate,APAC,677.6352,211.2552
2014-04-15,Home Office,EMEA,731.34,80.4
2011-03-21,Corporate,US,3499.93,909.9818
2014-05-05,Consumer,APAC,1272.72,534.48
2013-11-04,Consumer,EU,1856.34,909.54
2014-06-10,Corporate,EU,2295.0,459.0
2012-08-31,Corporate,EU,1622.1825,324.3825
2013-06-20,Consumer,APAC,1063.44,361.41
2014-08-23,Corporate,EMEA,3449.88,275.94
2012-05-28,Home Office,LATAM,585.456,-0.024
2014-05-19,Consumer,Africa,1429.44,471.6
2013-04-29,Corporate,Africa,1057.8,158.64
2013-12-23,Corporate,APAC,1092.96,393.39
2014-10-12,Consumer,LATAM,1483.0,741.5
2014-04-15,Home Office,LATAM,1792.4,304.7
2014-11-28,Corporate,EU,2455.677,-191.163
2012-05-11,Consumer,EMEA,1900.44,417.96
2013-06-18,Consumer,APAC,3712.59,849.87
2012-05-04,Home Office,APAC,2372.22,0.0
2011-11-11,Home Office,APAC,5725.35,1602.99
2014-12-24,Consumer,EU,2553.18,842.52
2014-05-15,Corporate,LATAM,2003.52,861.48
2014-12-09,Consumer,EMEA,1188.36,95.04
2011-12-07,Home Office,APAC,2875.095,511.095
2013-09-10,Consumer,EU,2380.5,952.2
2011-03-03,Corporate,EMEA,1619.1,258.9
2012-01-02,Corporate,APAC,2821.7178,339.8778
2012-10-30,Corporate,APAC,2991.1032,-128.7468
2013-11-19,Consumer,APAC,1798.6764,86.6364
2013-08-15,Consumer,EMEA,2544.84,712.44
2013-06-08,Home Office,APAC,951.72,228.36
2014-10-02,Consumer,APAC,2575.92,978.84
2014-02-27,Consumer,EU,1699.83,84.96
2013-10-31,Home Office,APAC,2634.552,116.952
2013-12-18,Corporate,APAC,3707.352,1554.432
2014-05-09,Consumer,APAC,4298.85,300.9
2014-07-04,Corporate,APAC,3417.48,854.28
2012-05-17,Consumer,EU,2080.32,561.6
2011-08-03,Corporate,APAC,840.6,319.35
2013-07-29,Consumer,US,1369.764,-913.176
2013-02-14,Home Office,Africa,1288.8,90.0
2012-05-23,Home Office,APAC,660.69,44.04
2014-08-04,Corporate,EMEA,3234.24,970.2
2013-11-13,Consumer,LATAM,2171.3,390.8
2014-02-12,Consumer,APAC,2074.734,276.534
2014-11-11,Consumer,LATAM,849.8,195.44
2013-03-30,Home Office,APAC,1177.173,353.133
2013-08-24,Home Office,Canada,2270.34,1112.4
2014-11-02,Consumer,US,2665.62,239.9058
2013-08-19,Corporate,APAC,2863.08,-458.19
2014-05-29,Home Office,EU,1253.07,236.67
2012-08-22,Home Office,EMEA,3369.24,606.42
2014-07-05,Consumer,Africa,1464.12,439.2
2012-03-14,Consumer,EU,1273.125,-993.195
2014-10-02,Home Office,US,1704.89,767.2005
2014-09-16,Corporate,LATAM,1258.7774,375.7774
2014-08-07,Consumer,APAC,2584.008,290.598
2013-09-09,Consumer,APAC,1482.39,68.31
2014-09-08,Consumer,LATAM,1274.7,293.16
2011-10-31,Consumer,US,1604.9,481.47
2012-10-17,Consumer,LATAM,2818.08,225.36
2014-02-17,Consumer,APAC,1046.25,-111.6
2012-02-24,Consumer,APAC,3187.2,541.8
2012-12-03,Corporate,APAC,4099.68,956.58
2012-12-12,Consumer,APAC,703.35,260.1
2014-06-16,Corporate,APAC,2293.488,509.568
2012-12-20,Corporate,EU,1238.6115,14.4315
2014-05-13,Consumer,LATAM,1715.056,300.076
2014-12-20,Consumer,US,1665.62,33.3124
2014-11-07,Consumer,APAC,2841.66,852.48
2013-06-10,Corporate,EU,3399.66,-3059.82
2012-05-10,Corporate,APAC,1607.76,482.22
2013-09-13,Corporate,APAC,840.15,260.4
2013-07-25,Consumer,APAC,1236.33,519.21
2014-10-11,Consumer,APAC,2488.56,348.24
2011-11-22,Home Office,LATAM,1124.256,252.896
2013-05-08,Consumer,US,3999.95,1159.9855
2014-10-25,Corporate,LATAM,726.72,-18.18
2012-08-28,Corporate,US,2799.96,874.9875
2013-10-14,Home Office,Africa,1519.92,653.4
2011-02-14,Corporate,EMEA,1279.32,319.8
2014-05-01,Consumer,APAC,723.3,122.85
2011-03-11,Home Office,EMEA,642.69,244.2
2012-08-03,Consumer,APAC,2619.0,232.68
2012-12-20,Consumer,APAC,1704.87,-1023.03
2012-08-03,Consumer,EU,1715.91,583.38
2012-06-20,Consumer,APAC,1278.0,460.08
2013-02-08,Corporate,Africa,1234.56,246.84
2011-09-28,Consumer,EU,4195.2,839.04
2012-06-23,Consumer,EU,1765.395,-98.205
2013-12-20,Consumer,LATAM,1480.368,333.048
2012-10-11,Corporate,LATAM,2968.98,89.04
2011-08-29,Corporate,APAC,2301.138,-953.442
2014-07-18,Corporate,EU,1100.52,352.08
2011-12-06,Corporate,APAC,2518.95,553.98
2014-04-16,Corporate,EU,996.3,119.55
2014-11-17,Corporate,US,1919.976,215.9973
2011-09-02,Consumer,EMEA,922.95,341.49
2013-08-01,Corporate,EU,1850.445,184.995
2014-09-12,Consumer,LATAM,664.56,6.6
2014-08-06,Consumer,EU,1547.1,340.2
2014-11-20,Home Office,APAC,2190.951,316.701
2012-05-04,Consumer,LATAM,3242.88,324.18
2012-08-27,Consumer,Africa,2544.6,1246.8
2013-12-24,Consumer,EMEA,2605.56,573.12
2013-01-29,Consumer,EU,1271.457,-127.413
2013-11-05,Corporate,US,876.3,-292.1
2011-12-27,Consumer,EMEA,1207.56,0.0
2012-11-30,Consumer,APAC,2051.1,40.95
2013-05-21,Consumer,LATAM,2544.24,992.16
2011-10-31,Corporate,US,1421.664,-734.5264
2014-06-27,Home Office,EU,1314.45,341.73
2011-11-04,Home Office,US,3991.98,1995.99
2013-07-25,Corporate,LATAM,980.32,110.28
2011-05-08,Consumer,US,1799.97,239.996
